id,word,class,level,past,past_participle,plural,sfi_rank,meaning_ko,meaning_ja,ex_biz,ex_biz_ko,ex_biz_ja,ex_daily,ex_daily_ko,ex_daily_ja
ox_00001,a,indefinite article,a1,,,,6,"하나의, 어떤",一つの、ある,We need [a] new plan.,우리는 새로운 계획이 하나 필요합니다.,新しい計画が一つ必要です。,I have [a] dog.,나는 개를 한 마리 키워.,私は犬を飼っています。
ox_00002,abandon,verb,b2,,,,1965,"버리다, 포기하다",捨てる、断念する,The company decided to [abandon] the old system.,회사는 기존 시스템을 중단하기로 결정했습니다.,会社は古いシステムを廃止することを決定しました。,They [abandoned] the car in the rain.,그들은 비 속에서 차를 버려두고 갔어.,彼らは雨の中に車を置き去りにした。
ox_00003,ability,noun,a2,,,,779,능력,能力,He has the [ability] to manage.,관리 능력이 있습니다.,彼は管理能力があります。,Show me your [ability].,네 실력을 보여줘.,あなたの能力を見せて。
ox_00004,able,adjective,a2,,,,271,~할 수 있는,～できる,He is [able] to do the job.,그 업무를 수행할 능력이 있습니다.,彼はその仕事をすることができます。,Will you be [able] to come?,너 올 수 있겠니?,来られますか？
ox_00005,abolish,verb,c1,,,,92167,폐지하다,廃止する,The government plans to [abolish] the outdated tax law.,정부는 시대에 뒤떨어진 세법을 폐지할 계획입니다.,政府は時代遅れの税法を廃止する計画です。,We should [abolish] these unfair rules.,우리는 이런 불공정한 규칙들을 폐지해야 해.,これらの不公平な規則は廃止すべきです。
ox_00006,abortion,noun,c1,,,,2542,낙태,中絶,The debate over [abortion] laws continues globally.,낙태법에 대한 논쟁이 전 세계적으로 계속되고 있습니다.,中絶法をめぐる議論が世界中で続いています。,She spoke about [abortion] rights at the rally.,그녀는 집회에서 낙태권에 대해 말했어.,彼女は集会で中絶の権利について話しました。
ox_00007,about,adverb,a1,,,,37,"거의, 약",ほぼ、約,It is [about] done.,거의 다 되었습니다.,ほぼ終わりました。,I have [about] five dollars.,난 약 5달러 정도 있어.,私は約5ドル持っています。
ox_00008,about,preposition,a1,,,,37,~에 대하여,~について,Talk [about] the plan.,계획에 대해 이야기합시다.,その計画について話しましょう。,Tell me [about] your day.,네 하루에 대해 말해줘.,あなたの一日について教えて。
ox_00009,above,adverb,a1,,,,440,"위에, 위에서",上に、上で,See the note [above].,위의 메모를 확인하세요.,上の注記を見てください。,The sun is [above].,해가 위에 떠 있어.,太陽が上にあります。
ox_00010,above,preposition,a1,,,,440,~위에,~の上に,Put it [above] the line.,선 위에 그것을 두세요.,線の上にそれを置いてください。,The bird flies [above] the trees.,새가 나무 위로 날아다녀.,鳥が木の上を飛んでいます。
ox_00011,abroad,adverb,a2,,,,1883,"해외로, 해외에서",海外へ、海外で,He is working [abroad] now.,지금 해외에서 근무 중입니다.,彼は今海外で働いています。,I want to go [abroad].,나 해외 가고 싶어.,海外に行きたいです。
ox_00012,absence,noun,c1,,,,1758,"결석, 부재",欠席、不在,His [absence] from the meeting was noted by the CEO.,그의 회의 불참(부재)이 CEO에 의해 주목되었습니다.,彼の会議への欠席がCEOによって注目されました。,She apologized for her long [absence] from work.,그녀는 오랫동안 직장을 비운 것에 대해 사과했어.,彼女は長期間仕事を休んだことを謝罪しました。
